filename,predicted_rating,s194504_mean,s224473_mean,all_mean,all_median,all_std
synthetic_rating_01.85.png,1.854549,1.1000,1.1000,1.1000,1.00,0.3078
synthetic_rating_02.18.png,2.179240,1.2000,1.3000,1.2500,1.00,0.4443
synthetic_rating_02.50.png,2.503931,1.3000,1.8000,1.5500,2.00,0.5104
synthetic_rating_02.83.png,2.828622,2.4000,2.4000,2.4000,2.00,0.5026
synthetic_rating_03.15.png,3.153313,2.9000,2.7000,2.8000,3.00,0.4104
synthetic_rating_03.48.png,3.478005,3.1000,3.5000,3.3000,3.00,0.5712
synthetic_rating_03.80.png,3.802696,3.6000,4.0000,3.8000,4.00,0.5231
synthetic_rating_04.13.png,4.127387,3.9000,4.4000,4.1500,4.00,0.4894
synthetic_rating_04.45.png,4.452078,4.4000,4.9000,4.6500,5.00,0.4894
synthetic_rating_04.78.png,4.776769,4.4000,5.0000,4.7000,5.00,0.4702
synthetic_rating_05.10.png,5.101460,4.7000,5.0000,4.8500,5.00,0.3663
